LAMMPS data file via write_data, version 2 Aug 2023, timestep = 500000, units = lj

16000 atoms
1 atom types
8000 bonds
1 bond types

-13.428302437532176 13.428302437532176 xlo xhi
-13.428302437532176 13.428302437532176 ylo yhi
-13.428302437532176 13.428302437532176 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut/coul/long

1 1 1

Bond Coeffs # fene

1 30 1.5 1 1

Atoms # full

12126 6063 1 0.01 -11.841441767132771 -8.45726431330434 -12.210026789778059 1 2 -1
4829 2415 1 -0.01 -10.083283149728477 -9.097197324768835 -10.423220403294906 0 -1 1
11001 5501 1 -0.01 -12.183498864573076 -11.569168983989378 -6.820271102059245 1 0 1
8435 4218 1 -0.01 -12.72010473083653 -11.7550637130512 -11.566874543229126 0 1 1
7944 3972 1 0.01 -10.929764181763705 -9.749630070984704 -8.199700629508683 1 2 1
7743 3872 1 -0.01 -10.46792722282529 -9.762470657396719 -9.211552327724595 -1 2 -1
9259 4630 1 -0.01 -11.38076301676758 -11.132654975259015 -12.852422475949739 0 0 1
12125 6063 1 -0.01 -11.447502683850802 -7.608686365136561 -12.394759441086677 1 2 -1
9730 4865 1 0.01 -12.499708130977533 -13.081764592118288 -13.11372170025719 1 -1 0
6282 3141 1 0.01 -12.834918654620546 -8.892796139461371 -7.66578036814956 -2 2 2
7744 3872 1 0.01 -10.828438754505015 -8.910925292458533 -9.380293072015764 -1 2 -1
5742 2871 1 0.01 -10.735483183507629 -12.013313798299905 -12.969228594645578 1 -1 1
15701 7851 1 -0.01 -11.704351642308938 -11.687460493327519 -12.019471000592942 1 1 2
8030 4015 1 0.01 -12.638418469440191 -11.510785030401887 -9.028011221085933 -1 2 0
3151 1576 1 -0.01 -9.732412007697464 -10.503402564089743 -8.889391577614784 -2 1 0
13126 6563 1 0.01 -8.969369316204514 -11.387513955236695 -8.617836997839435 -1 2 0
3152 1576 1 0.01 -8.99567416399843 -10.299295288976229 -8.337841670873845 -2 1 0
3542 1771 1 0.01 -11.985643351777234 -9.237260671461332 -9.893521301682528 0 1 0
5747 2874 1 -0.01 -11.812505798497455 -11.624254910524613 -10.961769351560767 1 0 2
7943 3972 1 -0.01 -10.604364939759147 -10.689122317458466 -8.280627772778429 1 2 1
2410 1205 1 0.01 -9.570221308287415 -10.302983383383317 -12.411044677798063 1 0 1
10987 5494 1 -0.01 -10.272819315489146 -11.016929242652544 -12.789680508623462 2 1 1
3498 1749 1 0.01 -9.687356096623176 -9.338884576256937 -12.73441037893162 -1 0 0
13125 6563 1 -0.01 -9.060138780600933 -11.060791412145361 -9.526879702535489 -1 2 0
8004 4002 1 0.01 -9.20866221928538 -8.640531171607552 -6.78097746885012 0 -1 1
5748 2874 1 0.01 -11.306999852633007 -12.393653956315882 -11.155751214537641 1 0 2
12415 6208 1 -0.01 -13.310948808451604 -8.009679213535016 -12.017812069562233 0 0 -2
15702 7851 1 0.01 -10.752122093269712 -11.89622233940387 -11.944441445386952 1 1 2
4466 2233 1 0.01 -10.31537647526781 -12.796874983839658 -6.86930895503428 -2 -2 1
10172 5086 1 0.01 -10.402141141462488 -10.070156933047455 -10.993850431088966 0 -2 0
4830 2415 1 0.01 -10.607377356668223 -8.299943469146587 -10.280567053729678 0 -1 1
7419 3710 1 -0.01 -12.052036815569405 -9.146727503440093 -11.2401998989214 0 0 1
9972 4986 1 0.01 -11.08514240090895 -9.859626805278337 -10.103508112566796 1 0 0
7420 3710 1 0.01 -11.705809644868998 -9.457571392892135 -12.046558918942411 0 0 1
10171 5086 1 -0.01 -11.310120977450884 -10.185495172880707 -11.292656431261518 0 -2 0
